file,diff_fields,deepseek_values,kimi_values,poe_values
Boston College/full/CV_lewbel.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""6"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""17"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMETRICA"": ""8"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""15"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""9"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""17"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}"
Boston College/full/Guerron_CV.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; JOURNAL OF MONETARY ECONOMICS; name,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""name"": ""Pablo A. Guerr\u00f3n""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""name"": ""Pablo A. Guerron""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""name"": ""Pablo A. Guerron""}"
Boston College/full/Quinn_CV.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Boston College/full/Segal_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""14"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}"
Boston College/full/TayfunSonmez-cv-January2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; name; promotion_university,"{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""name"": ""TAYFUN SO\u00a8 NMEZ"", ""promotion_university"": ""Koc\u00b8 I\u02d9stanbul, Turkey""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": ""Ko\u00e7 University""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": ""Ko\u00e7 University""}"
Boston College/full/Xiao_CV.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""15""}"
Boston College/full/cox.cv.docx,JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
Boston College/full/cvposta.docx,ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""Southern Methodist University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Southern Methodist University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}"
Boston College/full/ekmekci-cv-2023-Jan.docx,JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""2014"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}"
Boston College/full/ireland.cv.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6""}"
Boston College/full/schiantarelli_cv__2024_01.docx,ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1998"", ""years_post_phd"": ""17""}","{""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1998"", ""years_post_phd"": """"}"
Boston College/full/uunvercv.docx,INTERNATIONAL ECONOMIC REVIEW; THEORETICAL ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""THEORETICAL ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""THEORETICAL ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""THEORETICAL ECONOMICS"": ""3""}"
Boston College/full/vita24public.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""11""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""11""}"
Brandeis/associate/Sloczynski_CV.docx,years_post_phd,"{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}","{""years_post_phd"": """"}"
Brandeis/full/CV_Menon_July2025.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Brandeis/full/Kathryn_cv.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Brandeis/full/RaphaelSchoenle_CV.docx,JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY,"{""JOURNAL OF MONETARY ECONOMICS"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}"
Brandeis/full/gjh_cv_03_2025.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}"
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,promotion_university,"{""promotion_university"": ""Brooklyn College of the CUNY""}","{""promotion_university"": ""Brooklyn College of the City University of New York""}","{""promotion_university"": ""Brooklyn College of the CUNY""}"
CUNY/associate/KB-CV-2024-07-short.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Hunter College & The Graduate Center, City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}","{""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2009"", ""years_post_phd"": ""3""}","{""promotion_university"": ""Hunter College & The Graduate Center, City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}"
CUNY/associate/McLaughlin-CV-2022-12.docx,JOURNAL OF LABOR ECONOMICS; promotion_university; years_post_phd,"{""JOURNAL OF LABOR ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""years_post_phd"": ""11""}","{""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": ""Hunter College of the City University of New York"", ""years_post_phd"": """"}"
CUNY/associate/Nixvitae23revised.docx,promotion_university,"{""promotion_university"": ""Queens College (C.U.N.Y.)""}","{""promotion_university"": ""Queens College""}","{""promotion_university"": ""Queens College, (C.U.N.Y.)""}"
CUNY/associate/Nyman-CV-2017-02.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Hunter College, CUNY"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}","{""promotion_university"": ""Hunter College, CUNY"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}","{""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2014"", ""years_post_phd"": ""18""}"
CUNY/associate/cv2022_pratap.docx,promotion_year; years_post_phd,"{""promotion_year"": ""2013"", ""years_post_phd"": ""15""}","{""promotion_year"": ""2006"", ""years_post_phd"": ""8""}","{""promotion_year"": ""2013"", ""years_post_phd"": ""15""}"
CUNY/associate/kleinberg_cv.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""name"": ""John H. Cochrane"", ""promotion_university"": ""University of Chicago"", ""promotion_year"": ""1995"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
CUNY/full/CV timothyjgoodspeed.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university,"{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College and The Graduate School of The City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": ""Hunter College and The Graduate School of The City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College of the City University of New York""}"
CUNY/full/Chow_cv.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Peter C.Y. Chow"", ""promotion_university"": ""Southeastern Louisiana University"", ""promotion_year"": ""1986""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Peter C.Y. Chow"", ""promotion_university"": ""Berry College"", ""promotion_year"": ""1981""}"
CUNY/full/Deborah-Balk-CV-Dec2022.docx,promotion_university; years_post_phd,"{""promotion_university"": ""City University of New York"", ""years_post_phd"": ""15""}","{""promotion_university"": ""Baruch College, City University of New York"", ""years_post_phd"": ""15""}","{""promotion_university"": ""Baruch College, City University of New York"", ""years_post_phd"": """"}"
CUNY/full/Devereux_November 2021.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
CUNY/full/George-Vachadze-CV.docx,years_post_phd,"{""years_post_phd"": ""17""}","{""years_post_phd"": ""13""}","{""years_post_phd"": ""17""}"
CUNY/full/JoyceCV_4_17.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
CUNY/full/Lilia-Maliar-CV.docx,QUANTITATIVE ECONOMICS,"{""QUANTITATIVE ECONOMICS"": ""3""}","{""QUANTITATIVE ECONOMICS"": ""3""}","{""QUANTITATIVE ECONOMICS"": ""4""}"
CUNY/full/Linda_cv.docx,name; promotion_university; promotion_year; years_post_phd,"{""name"": ""John H. Cochrane"", ""promotion_university"": ""University of Chicago"", ""promotion_year"": ""1995"", ""years_post_phd"": ""9""}","{""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
CUNY/full/Liuren_Wu_CV.docx,JOURNAL OF ECONOMETRICS; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": ""9""}"
CUNY/full/Matthew-Nagler-CV.docx,name; promotion_university; promotion_year,"{""name"": """", ""promotion_university"": """", ""promotion_year"": """"}","{""name"": ""Marcus Nagler"", ""promotion_university"": ""Lehman College/CUNY"", ""promotion_year"": ""2008""}","{""name"": ""Michael Nagler"", ""promotion_university"": ""City College of New York"", ""promotion_year"": ""2008""}"
CUNY/full/Roff-CV.docx,name,"{""name"": ""Jennifer Roff""}","{""name"": ""Jennifer Roff""}","{""name"": """"}"
CUNY/full/Schwartz-CV.docx,JOURNAL OF POLITICAL ECONOMY; name,"{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""name"": ""Robert A Schwartz""}","{""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""name"": ""Robert A. Schwartz""}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""name"": ""Robert A Schwartz""}"
CUNY/full/belfield-cv.docx,ECONOMIC JOURNAL; promotion_university; promotion_year; years_post_phd,"{""ECONOMIC JOURNAL"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMIC JOURNAL"": ""0"", ""promotion_university"": ""Queens College, City University of New York"", ""promotion_year"": ""2008"", ""years_post_phd"": ""11""}","{""ECONOMIC JOURNAL"": ""0"", ""promotion_university"": ""Queens College, City University of New York"", ""promotion_year"": ""2004"", ""years_post_phd"": """"}"
CUNY/full/christos_cv.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""name"": ""John A. Doe"", ""promotion_university"": ""University of California, Berkeley"", ""promotion_year"": ""2018"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
CUNY/full/corak-cv-january-2019.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""3""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""JOURNAL OF LABOR ECONOMICS"": ""3""}"
CUNY/full/cv-Haeringer.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""6""}"
CUNY/full/cv-deb.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Indiana University-Purdue University Indianapolis (IUPUI)""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Indiana University-Purdue University Indianapolis""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Indiana University-Purdue University Indianapolis (IUPUI)""}"
CUNY/full/cv_linpeng.docx,AMERICAN ECONOMIC REVIEW; promotion_university,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""Zicklin School of Business, Baruch College, City University of New York""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Baruch College, City University of New York""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Zicklin School of Business, Baruch College, City University of New York""}"
