file,diff_fields,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Arizona/full/Price V. Fishback CV.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Price Vanmeter Fishback"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1990"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Price Vanmeter Fishback"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Price Vanmeter Fishback"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Price VanMeter Fishback"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1990"", ""years_post_phd"": ""7""}"
Arizona/full/Woutersen CV 2024 3.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}"
Arizona/full/alangerCV_20251211.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Arizona/full/lemoine_cv.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Boston College/associate/cv_nosal2.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2""}"
Boston College/full/Anderson_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""10"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""7"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""14"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""10"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""7"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""14"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""9"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Boston College/full/Basu_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}"
Boston College/full/Baum_CV.docx,JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}"
Boston College/full/CV Murphy January 2024.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
Boston College/full/CV-Papageorgiou.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Boston College"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Boston College"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}"
Boston College/full/CV_lewbel.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMETRICA"": ""4"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""14"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""5"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""16"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""10"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""19"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": ""Brandeis University"", ""promotion_year"": ""1984"", ""years_post_phd"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""9"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""14"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""7"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""18"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Boston College/full/Guerron_CV.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; name,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""name"": ""Pablo A. Guerron""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""name"": ""Pablo A. Guerr\u00f3n""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""name"": ""Pablo A. Guerron""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""name"": ""Pablo A. Guerron""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""name"": ""Pablo A. Guerron""}"
Boston College/full/Segal_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""15"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""9"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""15"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""5"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""15"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}"
Boston College/full/TayfunSonmez-cv-January2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMIC THEORY,"{""AMERICAN ECONOMIC REVIEW"": ""8"", ""ECONOMETRICA"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""ECONOMETRICA"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""6"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6""}"
Boston College/full/Xiao_CV.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""17""}","{""JOURNAL OF ECONOMETRICS"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""15""}","{""JOURNAL OF ECONOMETRICS"": ""15""}","{""JOURNAL OF ECONOMETRICS"": ""12""}"
Boston College/full/cox.cv.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Boston College/full/cvposta.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; THEORETICAL ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""9"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0""}"
Boston College/full/ekmekci-cv-2023-Jan.docx,JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_year"": ""2014"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}"
