file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Boston College/full/Xiao_CV.docx,JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""12""}","{""JOURNAL OF ECONOMETRICS"": ""17""}","{""JOURNAL OF ECONOMETRICS"": ""17""}","{""JOURNAL OF ECONOMETRICS"": ""13""}","{""JOURNAL OF ECONOMETRICS"": ""17""}"
Boston College/full/cox.cv.docx,JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
Boston College/full/cvposta.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""9"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}"
Boston College/full/ekmekci-cv-2023-Jan.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Pittsburgh""}","{""promotion_university"": ""University of Pittsburgh""}","{""promotion_university"": ""University of Pittsburgh""}","{""promotion_university"": ""Northwestern University, Kellogg School of Management""}","{""promotion_university"": ""University of Pittsburgh""}"
Boston College/full/ireland.cv.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6""}"
Boston College/full/schiantarelli_cv__2024_01.docx,REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1992"", ""years_post_phd"": ""11""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": ""Boston University"", ""promotion_year"": ""1988"", ""years_post_phd"": ""7""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": ""Boston University"", ""promotion_year"": ""1988"", ""years_post_phd"": ""7""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1992"", ""years_post_phd"": ""11""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""promotion_university"": ""Boston University"", ""promotion_year"": ""1988"", ""years_post_phd"": ""7""}"
Boston College/full/uunvercv.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; THEORETICAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""THEORETICAL ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""THEORETICAL ECONOMICS"": ""3""}"
Boston College/full/vita24public.docx,JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""14""}","{""JOURNAL OF ECONOMETRICS"": ""14""}","{""JOURNAL OF ECONOMETRICS"": ""14""}","{""JOURNAL OF ECONOMETRICS"": ""16""}","{""JOURNAL OF ECONOMETRICS"": ""15""}"
Brandeis/associate/LHuillierCVShort.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Jean-Paul L'Huillier""}","{""name"": ""Jean-Paul L\u2019Huillier""}","{""name"": ""Jean-Paul L\u2019Huillier""}","{""name"": ""Jean-Paul L\u2019Huillier""}","{""name"": ""Jean-Paul L'Huillier""}"
Brandeis/associate/Shiller_CV.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0""}"
Brandeis/associate/Sloczynski_CV.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""11""}","{""years_post_phd"": """"}","{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}"
Brandeis/full/CV_Menon_July2025.docx,JOURNAL OF INTERNATIONAL ECONOMICS; THEORETICAL ECONOMICS; name,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""1"", ""name"": ""Nidhiya Menon""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""NIDHIYA MENON""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Nidhiya Menon""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""NIDHIYA MENON""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Nidiya Menon""}"
Brandeis/full/Kathryn_cv.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Brandeis University"", ""promotion_year"": ""2007"", ""years_post_phd"": ""14""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Brandeis University"", ""promotion_year"": ""2007"", ""years_post_phd"": ""14""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Oxford"", ""promotion_year"": ""2000"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Brandeis University"", ""promotion_year"": ""2007"", ""years_post_phd"": ""14""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Oxford"", ""promotion_year"": ""2000"", ""years_post_phd"": ""7""}"
Brandeis/full/RaphaelSchoenle_CV.docx,JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""years_post_phd"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""years_post_phd"": """"}","{""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""years_post_phd"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""years_post_phd"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""years_post_phd"": ""7""}"
Brandeis/full/gjh_cv_03_2025.docx,JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Brandeis University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""10""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""6""}"
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Brooklyn College of the City University of New York""}","{""promotion_university"": ""Brooklyn College, City University of New York""}","{""promotion_university"": ""Brooklyn College of the City University of New York""}","{""promotion_university"": ""City University of New York""}","{""promotion_university"": ""Brooklyn College of the City University of New York""}"
CUNY/associate/Conning_CV_2021.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
CUNY/associate/Jessica-Van-Parys-CV.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}"
CUNY/associate/KB-CV-2024-07-short.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2009"", ""years_post_phd"": ""3""}","{""promotion_university"": ""Hunter College & The Graduate Center, City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}","{""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}","{""promotion_university"": ""Hunter College & The Graduate Center, City University of New York"", ""promotion_year"": ""2017"", ""years_post_phd"": ""11""}"
CUNY/associate/McLaughlin-CV-2022-12.docx,REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Hunter College of the City University of New York"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""promotion_year"": ""2000"", ""years_post_phd"": ""13""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""promotion_year"": ""2000"", ""years_post_phd"": ""13""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Hunter College and the Graduate Center of the City University of New York"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}"
CUNY/associate/Nixvitae23revised.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Queens College""}","{""promotion_university"": """"}","{""promotion_university"": ""Queens College, City University of New York""}","{""promotion_university"": ""Queens College, City University of New York""}","{""promotion_university"": ""Queens College, City University of New York""}"
CUNY/associate/Nyman-CV-2017-02.docx,RAND JOURNAL OF ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""RAND JOURNAL OF ECONOMICS"": ""1"", ""promotion_university"": ""Hunter College"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}","{""RAND JOURNAL OF ECONOMICS"": ""1"", ""promotion_university"": ""Hunter College, CUNY"", ""promotion_year"": ""2014"", ""years_post_phd"": ""18""}","{""RAND JOURNAL OF ECONOMICS"": ""1"", ""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}","{""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}","{""RAND JOURNAL OF ECONOMICS"": ""1"", ""promotion_university"": ""Hunter College, City University of New York"", ""promotion_year"": ""2008"", ""years_post_phd"": ""12""}"
CUNY/associate/cv2022_pratap.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Hunter College and Graduate Center, City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Hunter College and Graduate Center, City University of New York"", ""promotion_year"": ""2013"", ""years_post_phd"": ""15""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2013"", ""years_post_phd"": ""15""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""8""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""8""}"
CUNY/full/CV timothyjgoodspeed.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College of the City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College and The Graduate School of The City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College of the City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""Hunter College and The Graduate School of The City University of New York""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""Hunter College and The Graduate School of The City University of New York""}"
CUNY/full/CVZadiaFelicianoJanuary2025.docx,JOURNAL OF LABOR ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}"
CUNY/full/CV_DE_2025_Feb_acad.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""City College of New York""}","{""promotion_university"": ""City College of New York""}","{""promotion_university"": ""City College of New York, City University of New York""}","{""promotion_university"": ""City College of New York, CUNY""}","{""promotion_university"": ""City College of New York, CUNY""}"
CUNY/full/Chow_cv.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Berry College"", ""promotion_year"": ""1981""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Berry College"", ""promotion_year"": ""1981""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Berry College"", ""promotion_year"": ""1981""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": ""Berry College"", ""promotion_year"": ""1983""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Southeastern Louisiana University"", ""promotion_year"": ""1986""}"
CUNY/full/Deborah-Balk-CV-Dec2022.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Baruch College, City University of New York"", ""promotion_year"": ""2010"", ""years_post_phd"": ""19""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""15""}","{""promotion_university"": ""Baruch College, City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""15""}","{""promotion_university"": ""Baruch College, City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""15""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""2006"", ""years_post_phd"": ""15""}"
CUNY/full/Devereux_November 2021.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Miami"", ""promotion_year"": ""1995"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Miami"", ""promotion_year"": ""1995"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Miami"", ""promotion_year"": ""1995"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": ""Queens College, City University of New York"", ""promotion_year"": ""1998"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Miami"", ""promotion_year"": ""1995"", ""years_post_phd"": ""6""}"
CUNY/full/Frank-Heiland-CV.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Baruch College"", ""promotion_year"": ""2012"", ""years_post_phd"": ""10""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Baruch College"", ""promotion_year"": ""2012"", ""years_post_phd"": ""10""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}"
CUNY/full/George-Vachadze-CV.docx,promotion_university; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""College of Staten Island, City University of New York"", ""years_post_phd"": ""17""}","{""promotion_university"": ""College of Staten Island, City University of New York"", ""years_post_phd"": """"}","{""promotion_university"": ""College of Staten Island, City University of New York"", ""years_post_phd"": ""17""}","{""promotion_university"": ""College of Staten Island, City University of New York"", ""years_post_phd"": ""13""}","{""promotion_university"": ""City University of New York"", ""years_post_phd"": ""17""}"
CUNY/full/Lilia-Maliar-CV.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Alicante"", ""promotion_year"": ""2005"", ""years_post_phd"": ""6""}","{""promotion_university"": ""The Graduate Center, City University of New York"", ""promotion_year"": ""2018"", ""years_post_phd"": ""19""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
CUNY/full/Liuren_Wu_CV.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""9""}","{""years_post_phd"": ""9""}","{""years_post_phd"": ""9""}","{""years_post_phd"": ""9""}","{""years_post_phd"": ""5""}"
CUNY/full/Matthew-Nagler-CV.docx,JOURNAL OF POLITICAL ECONOMY; name,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""name"": ""M. Nagler""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": """"}","{""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": ""Nagler, M.""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": ""M. Nagler""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""name"": ""Matthew Nagler""}"
CUNY/full/Rodriguez_Planas_CV_Oct_2025.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""City University of New York""}","{""promotion_university"": ""City University of New York, Queens College""}","{""promotion_university"": ""City University of New York, Queens College""}","{""promotion_university"": ""City University of New York, Queens College""}","{""promotion_university"": ""City University of New York (CUNY), Queens College""}"
